"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2015","2015","Other bacterial diseases","A30-A49",4499,6619680,68.0,59.0
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2015","2015",,,4499,6619680,68.0,59.0
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2016","2016","Other bacterial diseases","A30-A49",4547,6633053,68.6,59.3
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2016","2016",,,4547,6633053,68.6,59.3
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2017","2017","Other bacterial diseases","A30-A49",4702,6666818,70.5,60.3
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2017","2017",,,4702,6666818,70.5,60.3
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18",,,,,32539,52625366,61.8,55.1
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2010","2010","Other bacterial diseases","A30-A49",5541,9883640,56.1,49.3
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2010","2010",,,5541,9883640,56.1,49.3
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2011","2011","Other bacterial diseases","A30-A49",5892,9876187,59.7,51.4
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2011","2011",,,5892,9876187,59.7,51.4
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2012","2012","Other bacterial diseases","A30-A49",5726,9883360,57.9,49.0
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2012","2012",,,5726,9883360,57.9,49.0
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2013","2013","Other bacterial diseases","A30-A49",5864,9895622,59.3,49.4
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2013","2013",,,5864,9895622,59.3,49.4
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2014","2014","Other bacterial diseases","A30-A49",6038,9909877,60.9,50.0
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2014","2014",,,6038,9909877,60.9,50.0
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2015","2015","Other bacterial diseases","A30-A49",6285,9922576,63.3,51.1
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2015","2015",,,6285,9922576,63.3,51.1
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2016","2016","Other bacterial diseases","A30-A49",6112,9928300,61.6,49.4
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2016","2016",,,6112,9928300,61.6,49.4
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2017","2017","Other bacterial diseases","A30-A49",6108,9962311,61.3,48.3
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2017","2017",,,6108,9962311,61.3,48.3
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26",,,,,47566,79261873,60.0,49.7
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2010","2010","Other bacterial diseases","A30-A49",6763,11536504,58.6,50.7
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2010","2010",,,6763,11536504,58.6,50.7
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2011","2011","Other bacterial diseases","A30-A49",7035,11544951,60.9,51.8
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2011","2011",,,7035,11544951,60.9,51.8
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2012","2012","Other bacterial diseases","A30-A49",6864,11544225,59.5,49.7
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2012","2012",,,6864,11544225,59.5,49.7
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2013","2013","Other bacterial diseases","A30-A49",6915,11570808,59.8,49.4
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2013","2013",,,6915,11570808,59.8,49.4
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2014","2014","Other bacterial diseases","A30-A49",7095,11594163,61.2,49.9
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2014","2014",,,7095,11594163,61.2,49.9
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2015","2015","Other bacterial diseases","A30-A49",7666,11613423,66.0,53.3
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2015","2015",,,7666,11613423,66.0,53.3
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2016","2016","Other bacterial diseases","A30-A49",7575,11614373,65.2,52.3
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2016","2016",,,7575,11614373,65.2,52.3
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2017","2017","Other bacterial diseases","A30-A49",7857,11658609,67.4,53.0
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2017","2017",,,7857,11658609,67.4,53.0
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39",,,,,57770,92677056,62.3,51.3
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2010","2010","Other bacterial diseases","A30-A49",2083,5686986,36.6,31.9
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2010","2010",,,2083,5686986,36.6,31.9
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2011","2011","Other bacterial diseases","A30-A49",2078,5711767,36.4,31.2
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2011","2011",,,2078,5711767,36.4,31.2
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2012","2012","Other bacterial diseases","A30-A49",1991,5726398,34.8,29.3
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2012","2012",,,1991,5726398,34.8,29.3
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2013","2013","Other bacterial diseases","A30-A49",2192,5742713,38.2,31.7
