"Notes","Residence Census Region","Residence Census Region Code","Residence State","Residence State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2022","2022",,,8920,12582032,70.9,69.4,72.4,55.9,54.7,57.1
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2023","2023","Other bacterial diseases","A30-A49",8211,12549689,65.4,64.0,66.8,51.6,50.5,52.7
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2023","2023",,,8211,12549689,65.4,64.0,66.8,51.6,50.5,52.7
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2024","2024","Other bacterial diseases","A30-A49",7887,12710158,62.1,60.7,63.4,48.1,47.1,49.2
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2024","2024",,,7887,12710158,62.1,60.7,63.4,48.1,47.1,49.2
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2025 (provisional)","2025","Other bacterial diseases","A30-A49",7880,12710158,62.0,60.6,63.4,48.1,47.0,49.2
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2025 (provisional)","2025",,,7880,12710158,62.0,60.6,63.4,48.1,47.0,49.2
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",811,12710158,6.4,5.9,6.8,5.0,4.6,5.3
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2026 (provisional and partial)","2026",,,811,12710158,6.4,5.9,6.8,5.0,4.6,5.3
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17",,,,,67120,113934095,58.9,58.5,59.4,46.8,46.5,47.2
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2018","2018","Other bacterial diseases","A30-A49",4765,6691878,71.2,69.2,73.2,59.7,58.0,61.5
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2018","2018",,,4765,6691878,71.2,69.2,73.2,59.7,58.0,61.5
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2019","2019","Other bacterial diseases","A30-A49",4794,6732219,71.2,69.2,73.2,59.2,57.5,60.9
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2019","2019",,,4794,6732219,71.2,69.2,73.2,59.2,57.5,60.9
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2020","2020","Other bacterial diseases","A30-A49",5819,6754953,86.1,83.9,88.4,70.5,68.6,72.3
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2020","2020",,,5819,6754953,86.1,83.9,88.4,70.5,68.6,72.3
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2021","2021","Other bacterial diseases","A30-A49",5794,6805985,85.1,82.9,87.3,71.5,69.6,73.4
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2021","2021",,,5794,6805985,85.1,82.9,87.3,71.5,69.6,73.4
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2022","2022","Other bacterial diseases","A30-A49",5175,6833037,75.7,73.7,77.8,61.7,60.0,63.5
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2022","2022",,,5175,6833037,75.7,73.7,77.8,61.7,60.0,63.5
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2023","2023","Other bacterial diseases","A30-A49",4769,6862199,69.5,67.5,71.5,56.7,55.1,58.4
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2023","2023",,,4769,6862199,69.5,67.5,71.5,56.7,55.1,58.4
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2024","2024","Other bacterial diseases","A30-A49",4604,6924275,66.5,64.6,68.4,53.2,51.6,54.7
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2024","2024",,,4604,6924275,66.5,64.6,68.4,53.2,51.6,54.7
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2025 (provisional)","2025","Other bacterial diseases","A30-A49",4432,6924275,64.0,62.1,65.9,51.4,49.9,53.0
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2025 (provisional)","2025",,,4432,6924275,64.0,62.1,65.9,51.4,49.9,53.0
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",395,6924275,5.7,5.1,6.3,4.6,4.1,5.1
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2026 (provisional and partial)","2026",,,395,6924275,5.7,5.1,6.3,4.6,4.1,5.1
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18",,,,,40547,61453096,66.0,65.3,66.6,54.0,53.4,54.5
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2018","2018","Other bacterial diseases","A30-A49",6550,9995915,65.5,63.9,67.1,50.8,49.6,52.1
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2018","2018",,,6550,9995915,65.5,63.9,67.1,50.8,49.6,52.1
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2019","2019","Other bacterial diseases","A30-A49",6357,9986857,63.7,62.1,65.2,48.6,47.4,49.8
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2019","2019",,,6357,9986857,63.7,62.1,65.2,48.6,47.4,49.8
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2020","2020","Other bacterial diseases","A30-A49",7776,9966555,78.0,76.3,79.8,58.6,57.3,60.0
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2020","2020",,,7776,9966555,78.0,76.3,79.8,58.6,57.3,60.0
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2021","2021","Other bacterial diseases","A30-A49",8008,10050811,79.7,77.9,81.4,61.9,60.5,63.3
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2021","2021",,,8008,10050811,79.7,77.9,81.4,61.9,60.5,63.3
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2022","2022","Other bacterial diseases","A30-A49",7549,10034113,75.2,73.5,76.9,56.4,55.1,57.7
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2022","2022",,,7549,10034113,75.2,73.5,76.9,56.4,55.1,57.7
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2023","2023","Other bacterial diseases","A30-A49",7091,10037261,70.6,69.0,72.3,52.9,51.7,54.2
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2023","2023",,,7091,10037261,70.6,69.0,72.3,52.9,51.7,54.2
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2024","2024","Other bacterial diseases","A30-A49",6979,10140459,68.8,67.2,70.4,50.8,49.6,52.1
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2024","2024",,,6979,10140459,68.8,67.2,70.4,50.8,49.6,52.1
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2025 (provisional)","2025","Other bacterial diseases","A30-A49",7015,10140459,69.2,67.6,70.8,51.1,49.9,52.4
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2025 (provisional)","2025",,,7015,10140459,69.2,67.6,70.8,51.1,49.9,52.4
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",747,10140459,7.4,6.8,7.9,5.4,5.0,5.8
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2026 (provisional and partial)","2026",,,747,10140459,7.4,6.8,7.9,5.4,5.0,5.8
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26",,,,,58072,90492889,64.2,63.7,64.7,48.4,48.0,48.8
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2018","2018","Other bacterial diseases","A30-A49",7676,11689442,65.7,64.2,67.1,50.9,49.8,52.1
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2018","2018",,,7676,11689442,65.7,64.2,67.1,50.9,49.8,52.1
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2019","2019","Other bacterial diseases","A30-A49",7472,11689100,63.9,62.5,65.4,49.1,48.0,50.2
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2019","2019",,,7472,11689100,63.9,62.5,65.4,49.1,48.0,50.2
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2020","2020","Other bacterial diseases","A30-A49",9078,11693217,77.6,76.0,79.2,59.3,58.1,60.6
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2020","2020",,,9078,11693217,77.6,76.0,79.2,59.3,58.1,60.6
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2021","2021","Other bacterial diseases","A30-A49",9996,11780017,84.9,83.2,86.5,66.6,65.3,67.9
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2021","2021",,,9996,11780017,84.9,83.2,86.5,66.6,65.3,67.9
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2022","2022","Other bacterial diseases","A30-A49",8929,11756058,76.0,74.4,77.5,57.9,56.7,59.1
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2022","2022",,,8929,11756058,76.0,74.4,77.5,57.9,56.7,59.1
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2023","2023","Other bacterial diseases","A30-A49",8158,11785935,69.2,67.7,70.7,52.7,51.6,53.9
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2023","2023",,,8158,11785935,69.2,67.7,70.7,52.7,51.6,53.9
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2024","2024","Other bacterial diseases","A30-A49",7986,11883304,67.2,65.7,68.7,50.3,49.2,51.5
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2024","2024",,,7986,11883304,67.2,65.7,68.7,50.3,49.2,51.5
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2025 (provisional)","2025","Other bacterial diseases","A30-A49",8345,11883304,70.2,68.7,71.7,52.5,51.3,53.6
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2025 (provisional)","2025",,,8345,11883304,70.2,68.7,71.7,52.5,51.3,53.6
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",846,11883304,7.1,6.6,7.6,5.3,5.0,5.7
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2026 (provisional and partial)","2026",,,846,11883304,7.1,6.6,7.6,5.3,5.0,5.7
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39",,,,,68486,106043681,64.6,64.1,65.1,49.2,48.9,49.6
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2018","2018","Other bacterial diseases","A30-A49",2972,5813568,51.1,49.3,53.0,39.9,38.4,41.4
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2018","2018",,,2972,5813568,51.1,49.3,53.0,39.9,38.4,41.4
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2019","2019","Other bacterial diseases","A30-A49",3055,5822434,52.5,50.6,54.3,40.2,38.8,41.7
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2019","2019",,,3055,5822434,52.5,50.6,54.3,40.2,38.8,41.7
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2020","2020","Other bacterial diseases","A30-A49",3627,5832655,62.2,60.2,64.2,47.1,45.5,48.7
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2020","2020",,,3627,5832655,62.2,60.2,64.2,47.1,45.5,48.7
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2021","2021","Other bacterial diseases","A30-A49",3493,5895908,59.2,57.3,61.2,46.8,45.2,48.4
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2021","2021",,,3493,5895908,59.2,57.3,61.2,46.8,45.2,48.4
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2022","2022","Other bacterial diseases","A30-A49",3521,5892539,59.8,57.8,61.7,44.8,43.3,46.3
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2022","2022",,,3521,5892539,59.8,57.8,61.7,44.8,43.3,46.3
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2023","2023","Other bacterial diseases","A30-A49",3495,5910955,59.1,57.2,61.1,44.3,42.8,45.9
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2023","2023",,,3495,5910955,59.1,57.2,61.1,44.3,42.8,45.9
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2024","2024","Other bacterial diseases","A30-A49",3392,5960975,56.9,55.0,58.8,41.6,40.2,43.1
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2024","2024",,,3392,5960975,56.9,55.0,58.8,41.6,40.2,43.1
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2025 (provisional)","2025","Other bacterial diseases","A30-A49",3411,5960975,57.2,55.3,59.1,42.1,40.7,43.6
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2025 (provisional)","2025",,,3411,5960975,57.2,55.3,59.1,42.1,40.7,43.6
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",316,5960975,5.3,4.7,5.9,3.9,3.4,4.3
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2026 (provisional and partial)","2026",,,316,5960975,5.3,4.7,5.9,3.9,3.4,4.3
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55",,,,,27282,53050984,51.4,50.8,52.0,38.8,38.3,39.3
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2018","2018","Other bacterial diseases","A30-A49",1830,3156145,58.0,55.3,60.6,43.7,41.6,45.8
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2018","2018",,,1830,3156145,58.0,55.3,60.6,43.7,41.6,45.8
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2019","2019","Other bacterial diseases","A30-A49",1812,3155070,57.4,54.8,60.1,43.1,41.1,45.2
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2019","2019",,,1812,3155070,57.4,54.8,60.1,43.1,41.1,45.2
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2020","2020","Other bacterial diseases","A30-A49",2160,3163561,68.3,65.4,71.2,50.9,48.7,53.1
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2020","2020",,,2160,3163561,68.3,65.4,71.2,50.9,48.7,53.1
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2021","2021","Other bacterial diseases","A30-A49",1978,3193079,61.9,59.2,64.7,48.5,46.3,50.7
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2021","2021",,,1978,3193079,61.9,59.2,64.7,48.5,46.3,50.7
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2022","2022","Other bacterial diseases","A30-A49",2027,3200517,63.3,60.6,66.1,47.4,45.3,49.6
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2022","2022",,,2027,3200517,63.3,60.6,66.1,47.4,45.3,49.6
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2023","2023","Other bacterial diseases","A30-A49",1826,3207004,56.9,54.3,59.5,42.6,40.6,44.6
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2023","2023",,,1826,3207004,56.9,54.3,59.5,42.6,40.6,44.6
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2024","2024","Other bacterial diseases","A30-A49",1851,3241488,57.1,54.5,59.7,41.9,40.0,43.9
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2024","2024",,,1851,3241488,57.1,54.5,59.7,41.9,40.0,43.9
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2025 (provisional)","2025","Other bacterial diseases","A30-A49",1899,3241488,58.6,55.9,61.2,43.2,41.3,45.3
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2025 (provisional)","2025",,,1899,3241488,58.6,55.9,61.2,43.2,41.3,45.3
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",193,3241488,6.0,5.1,6.8,4.3,3.7,5.0
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2026 (provisional and partial)","2026",,,193,3241488,6.0,5.1,6.8,4.3,3.7,5.0
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19",,,,,15576,28799840,54.1,53.2,54.9,40.5,39.9,41.2
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2018","2018","Other bacterial diseases","A30-A49",1920,2911505,65.9,63.0,68.9,53.4,51.0,55.9
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2018","2018",,,1920,2911505,65.9,63.0,68.9,53.4,51.0,55.9
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2019","2019","Other bacterial diseases","A30-A49",1891,2913314,64.9,62.0,67.8,51.9,49.5,54.4
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2019","2019",,,1891,2913314,64.9,62.0,67.8,51.9,49.5,54.4
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2020","2020","Other bacterial diseases","A30-A49",2127,2913805,73.0,69.9,76.1,58.4,55.9,61.0
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2020","2020",,,2127,2913805,73.0,69.9,76.1,58.4,55.9,61.0
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2021","2021","Other bacterial diseases","A30-A49",2293,2934582,78.1,74.9,81.3,65.0,62.3,67.8
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2021","2021",,,2293,2934582,78.1,74.9,81.3,65.0,62.3,67.8
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2022","2022","Other bacterial diseases","A30-A49",2216,2937150,75.4,72.3,78.6,60.6,58.1,63.3
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2022","2022",,,2216,2937150,75.4,72.3,78.6,60.6,58.1,63.3
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2023","2023","Other bacterial diseases","A30-A49",1912,2940546,65.0,62.1,67.9,52.3,50.0,54.8
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2023","2023",,,1912,2940546,65.0,62.1,67.9,52.3,50.0,54.8
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2024","2024","Other bacterial diseases","A30-A49",1908,2970606,64.2,61.3,67.1,51.1,48.8,53.5
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2024","2024",,,1908,2970606,64.2,61.3,67.1,51.1,48.8,53.5
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2025 (provisional)","2025","Other bacterial diseases","A30-A49",1875,2970606,63.1,60.3,66.0,50.0,47.7,52.4
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2025 (provisional)","2025",,,1875,2970606,63.1,60.3,66.0,50.0,47.7,52.4
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",223,2970606,7.5,6.5,8.5,5.8,5.1,6.7
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2026 (provisional and partial)","2026",,,223,2970606,7.5,6.5,8.5,5.8,5.1,6.7
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20",,,,,16365,26462720,61.8,60.9,62.8,49.7,48.9,50.5
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2018","2018","Other bacterial diseases","A30-A49",2482,5611179,44.2,42.5,46.0,36.0,34.6,37.5
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2018","2018",,,2482,5611179,44.2,42.5,46.0,36.0,34.6,37.5
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2019","2019","Other bacterial diseases","A30-A49",2452,5639632,43.5,41.8,45.2,34.9,33.5,36.4
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2019","2019",,,2452,5639632,43.5,41.8,45.2,34.9,33.5,36.4
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2020","2020","Other bacterial diseases","A30-A49",2959,5657342,52.3,50.4,54.2,41.9,40.4,43.5
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2020","2020",,,2959,5657342,52.3,50.4,54.2,41.9,40.4,43.5
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2021","2021","Other bacterial diseases","A30-A49",3164,5707390,55.4,53.5,57.4,45.2,43.7,46.9
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2021","2021",,,3164,5707390,55.4,53.5,57.4,45.2,43.7,46.9
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2022","2022","Other bacterial diseases","A30-A49",3097,5717184,54.2,52.3,56.1,42.6,41.1,44.1
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2022","2022",,,3097,5717184,54.2,52.3,56.1,42.6,41.1,44.1
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2023","2023","Other bacterial diseases","A30-A49",3017,5737915,52.6,50.7,54.5,41.4,39.9,42.9
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2023","2023",,,3017,5737915,52.6,50.7,54.5,41.4,39.9,42.9
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2024","2024","Other bacterial diseases","A30-A49",2841,5793151,49.0,47.2,50.8,37.6,36.3,39.1
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2024","2024",,,2841,5793151,49.0,47.2,50.8,37.6,36.3,39.1
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2025 (provisional)","2025","Other bacterial diseases","A30-A49",2976,5793151,51.4,49.5,53.2,39.4,38.0,40.9
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2025 (provisional)","2025",,,2976,5793151,51.4,49.5,53.2,39.4,38.0,40.9
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",342,5793151,5.9,5.3,6.5,4.5,4.0,5.0
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2026 (provisional and partial)","2026",,,342,5793151,5.9,5.3,6.5,4.5,4.0,5.0
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27",,,,,23330,51450095,45.3,44.8,45.9,35.8,35.3,36.3
