"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"2014","2014","Renal failure","N17-N19","55-59 years","55-59",1168,21511449,5.4
,"2014","2014","Renal failure","N17-N19","60-64 years ","60-64",1468,18566132,7.9
,"2014","2014","Renal failure","N17-N19","65-69 years","65-69",1753,15325266,11.4
,"2014","2014","Renal failure","N17-N19","70-74 years","70-74",1958,11073024,17.7
,"2014","2014","Renal failure","N17-N19","75-79 years","75-79",2135,7922324,26.9
,"2014","2014","Renal failure","N17-N19","80-84 years","80-84",2308,5760366,40.1
,"2014","2014","Renal failure","N17-N19","85-89 years","85-89",2454,Not Applicable,Not Applicable
,"2014","2014","Renal failure","N17-N19","90-94 years","90-94",1570,Not Applicable,Not Applicable
,"2014","2014","Renal failure","N17-N19","95-99 years","95-99",484,Not Applicable,Not Applicable
,"2014","2014","Renal failure","N17-N19","100+ years","100+",78,Not Applicable,Not Applicable
"Total","2014","2014","Renal failure","N17-N19",,,17194,318857056,5.4
"Total","2014","2014",,,,,34261,318857056,10.7
,"2015","2015","Other bacterial diseases","A30-A49","< 1 year","1",23,3978038,0.6
,"2015","2015","Other bacterial diseases","A30-A49","15-19 years","15-19",17,21108903,Unreliable
,"2015","2015","Other bacterial diseases","A30-A49","20-24 years","20-24",27,22739313,0.1
,"2015","2015","Other bacterial diseases","A30-A49","25-29 years","25-29",53,22461554,0.2
,"2015","2015","Other bacterial diseases","A30-A49","30-34 years","30-34",84,21675648,0.4
,"2015","2015","Other bacterial diseases","A30-A49","35-39 years","35-39",151,20374585,0.7
,"2015","2015","Other bacterial diseases","A30-A49","40-44 years","40-44",243,20215198,1.2
,"2015","2015","Other bacterial diseases","A30-A49","45-49 years","45-49",406,20853844,1.9
,"2015","2015","Other bacterial diseases","A30-A49","50-54 years","50-54",786,22334317,3.5
,"2015","2015","Other bacterial diseases","A30-A49","55-59 years","55-59",1187,21807942,5.4
,"2015","2015","Other bacterial diseases","A30-A49","60-64 years ","60-64",1589,19069877,8.3
,"2015","2015","Other bacterial diseases","A30-A49","65-69 years","65-69",1907,16067468,11.9
,"2015","2015","Other bacterial diseases","A30-A49","70-74 years","70-74",2086,11483049,18.2
,"2015","2015","Other bacterial diseases","A30-A49","75-79 years","75-79",2305,8123833,28.4
,"2015","2015","Other bacterial diseases","A30-A49","80-84 years","80-84",2534,5799341,43.7
,"2015","2015","Other bacterial diseases","A30-A49","85-89 years","85-89",2479,Not Applicable,Not Applicable
,"2015","2015","Other bacterial diseases","A30-A49","90-94 years","90-94",1624,Not Applicable,Not Applicable
,"2015","2015","Other bacterial diseases","A30-A49","95-99 years","95-99",557,Not Applicable,Not Applicable
,"2015","2015","Other bacterial diseases","A30-A49","100+ years","100+",85,Not Applicable,Not Applicable
"Total","2015","2015","Other bacterial diseases","A30-A49",,,18154,321418820,5.6
,"2015","2015","Renal failure","N17-N19","< 1 year","1",23,3978038,0.6
,"2015","2015","Renal failure","N17-N19","15-19 years","15-19",17,21108903,Unreliable
,"2015","2015","Renal failure","N17-N19","20-24 years","20-24",27,22739313,0.1
,"2015","2015","Renal failure","N17-N19","25-29 years","25-29",53,22461554,0.2
,"2015","2015","Renal failure","N17-N19","30-34 years","30-34",85,21675648,0.4
,"2015","2015","Renal failure","N17-N19","35-39 years","35-39",151,20374585,0.7
,"2015","2015","Renal failure","N17-N19","40-44 years","40-44",247,20215198,1.2
,"2015","2015","Renal failure","N17-N19","45-49 years","45-49",411,20853844,2.0
,"2015","2015","Renal failure","N17-N19","50-54 years","50-54",793,22334317,3.6
,"2015","2015","Renal failure","N17-N19","55-59 years","55-59",1198,21807942,5.5
,"2015","2015","Renal failure","N17-N19","60-64 years ","60-64",1602,19069877,8.4
,"2015","2015","Renal failure","N17-N19","65-69 years","65-69",1921,16067468,12.0
,"2015","2015","Renal failure","N17-N19","70-74 years","70-74",2107,11483049,18.3
,"2015","2015","Renal failure","N17-N19","75-79 years","75-79",2332,8123833,28.7
,"2015","2015","Renal failure","N17-N19","80-84 years","80-84",2557,5799341,44.1
,"2015","2015","Renal failure","N17-N19","85-89 years","85-89",2500,Not Applicable,Not Applicable
,"2015","2015","Renal failure","N17-N19","90-94 years","90-94",1638,Not Applicable,Not Applicable
,"2015","2015","Renal failure","N17-N19","95-99 years","95-99",563,Not Applicable,Not Applicable
,"2015","2015","Renal failure","N17-N19","100+ years","100+",86,Not Applicable,Not Applicable
"Total","2015","2015","Renal failure","N17-N19",,,18322,321418820,5.7
"Total","2015","2015",,,,,36476,321418820,11.3
